time,open,high,low,close,tick_volume,spread,real_volume,ep_high,ep_low
2022.02.07 11:36:00,1.35271,1.35274,1.35260,1.35272,87,8,0.00000,1.35272,0.00000
2022.02.07 11:35:00,1.35256,1.35272,1.35249,1.35270,97,8,0.00000,0.00000,0.00000
2022.02.07 11:34:00,1.35243,1.35261,1.35240,1.35256,82,8,0.00000,0.00000,0.00000
2022.02.07 11:33:00,1.35223,1.35244,1.35221,1.35243,69,8,0.00000,0.00000,0.00000
2022.02.07 11:32:00,1.35245,1.35248,1.35222,1.35223,57,8,0.00000,0.00000,1.35223
2022.02.07 11:31:00,1.35261,1.35262,1.35237,1.35246,104,8,0.00000,0.00000,0.00000
2022.02.07 11:30:00,1.35271,1.35277,1.35260,1.35262,68,8,0.00000,0.00000,0.00000
2022.02.07 11:29:00,1.35281,1.35283,1.35268,1.35271,48,8,0.00000,1.35281,0.00000
2022.02.07 11:28:00,1.35253,1.35278,1.35251,1.35278,52,8,0.00000,0.00000,0.00000
2022.02.07 11:27:00,1.35241,1.35261,1.35232,1.35253,62,8,0.00000,0.00000,0.00000
2022.02.07 11:26:00,1.35255,1.35258,1.35231,1.35241,88,9,0.00000,0.00000,1.35241
2022.02.07 11:25:00,1.35259,1.35268,1.35247,1.35254,114,8,0.00000,0.00000,0.00000
2022.02.07 11:24:00,1.35311,1.35311,1.35254,1.35256,84,8,0.00000,0.00000,0.00000
2022.02.07 11:23:00,1.35321,1.35322,1.35311,1.35311,36,9,0.00000,0.00000,0.00000
2022.02.07 11:22:00,1.35321,1.35322,1.35313,1.35321,60,8,0.00000,0.00000,0.00000
2022.02.07 11:21:00,1.35331,1.35340,1.35313,1.35321,61,8,0.00000,0.00000,0.00000
2022.02.07 11:20:00,1.35325,1.35326,1.35315,1.35326,73,8,0.00000,0.00000,0.00000
2022.02.07 11:19:00,1.35321,1.35327,1.35310,1.35324,64,8,0.00000,0.00000,0.00000
2022.02.07 11:18:00,1.35333,1.35335,1.35304,1.35321,95,8,0.00000,0.00000,0.00000
2022.02.07 11:17:00,1.35335,1.35352,1.35331,1.35333,91,8,0.00000,0.00000,0.00000
2022.02.07 11:16:00,1.35342,1.35351,1.35323,1.35336,85,8,0.00000,0.00000,0.00000
2022.02.07 11:15:00,1.35312,1.35355,1.35311,1.35343,115,8,0.00000,1.35343,0.00000
2022.02.07 11:14:00,1.35293,1.35317,1.35291,1.35311,116,9,0.00000,0.00000,0.00000
2022.02.07 11:13:00,1.35285,1.35296,1.35280,1.35292,65,8,0.00000,0.00000,0.00000
2022.02.07 11:12:00,1.35287,1.35290,1.35253,1.35285,110,8,0.00000,0.00000,1.35285
2022.02.07 11:11:00,1.35305,1.35307,1.35286,1.35286,41,8,0.00000,0.00000,0.00000
2022.02.07 11:10:00,1.35322,1.35324,1.35307,1.35308,95,8,0.00000,0.00000,0.00000
2022.02.07 11:09:00,1.35343,1.35343,1.35321,1.35324,93,8,0.00000,0.00000,0.00000
2022.02.07 11:08:00,1.35352,1.35361,1.35347,1.35347,67,8,0.00000,1.35352,0.00000
2022.02.07 11:07:00,1.35331,1.35352,1.35323,1.35351,78,8,0.00000,0.00000,1.35331
2022.02.07 11:06:00,1.35361,1.35362,1.35334,1.35334,106,8,0.00000,0.00000,0.00000
2022.02.07 11:05:00,1.35368,1.35371,1.35346,1.35361,92,8,0.00000,1.35368,0.00000
2022.02.07 11:04:00,1.35349,1.35370,1.35347,1.35367,41,8,0.00000,0.00000,0.00000
2022.02.07 11:03:00,1.35351,1.35353,1.35336,1.35350,71,8,0.00000,0.00000,0.00000
2022.02.07 11:02:00,1.35332,1.35351,1.35321,1.35351,111,9,0.00000,0.00000,1.35332
2022.02.07 11:01:00,1.35354,1.35362,1.35330,1.35333,96,8,0.00000,0.00000,0.00000
